year,sucid_in_hundredk
1985-01-01,171.05
1986-01-01,215.1
1987-01-01,209.94
1988-01-01,167.98000000000002
1989-01-01,110.12
1990-01-01,180.31
1991-01-01,199.73000000000002
1992-01-01,122.89
1993-01-01,109.02
1994-01-01,125.44
1995-01-01,129.66
1996-01-01,177.35
1997-01-01,164.02
1998-01-01,141.09
1999-01-01,128.92
2000-01-01,85.81
2001-01-01,163.06
2002-01-01,131.24
2003-01-01,100.97
2004-01-01,124.17
2005-01-01,115.0
2006-01-01,106.39
2007-01-01,163.29
2008-01-01,136.09
2009-01-01,123.73
2010-01-01,184.26999999999998
2011-01-01,92.95
2012-01-01,145.41
2013-01-01,161.49
2014-01-01,139.07
2015-01-01,140.65
2016-01-01,138.07
